Time,Ping,Download,Upload,Tries
"15/06/21 11:06:47 AM",52.678,2.54,2.36,3
"15/06/21 11:06:39 AM",60.048,4.04,2.85,1
"15/06/21 11:06:42 AM",44.876,3.28,2.57,1
"15/06/21 11:06:52 AM",77.273,1.34,0.41,1
"15/06/21 12:06:53 PM",58.522,2.32,2.08,5
"15/06/21 12:06:52 PM",0,0,0,5
"15/06/21 12:06:12 PM",0,0,0,5
"15/06/21 12:06:24 PM",52.762,29.38,6.06,1
"15/06/21 1:06:10 PM",0,0,0,5
"15/06/21 1:06:24 PM",29.591,31.19,5.95,1
"15/06/21 1:06:10 PM",0,0,0,5
"15/06/21 1:06:23 PM",28.501,28.38,5.56,1
"15/06/21 2:06:10 PM",0,0,0,5
"15/06/21 2:06:23 PM",36.269,30.6,5.93,1
"15/06/21 2:06:11 PM",0,0,0,5
"15/06/21 2:06:24 PM",42.062,29.27,5.94,1
"15/06/21 3:06:12 PM",0,0,0,5
"15/06/21 3:06:24 PM",53.579,29.88,6.06,1
"15/06/21 3:06:10 PM",0,0,0,5
"15/06/21 3:06:25 PM",50.235,28.84,5.86,1
"15/06/21 4:06:09 PM",0,0,0,5
"15/06/21 4:06:24 PM",30.054,27.08,5.95,1
"15/06/21 4:06:09 PM",0,0,0,5
"15/06/21 4:06:23 PM",36.534,31.44,5.85,1
"15/06/21 5:06:12 PM",0,0,0,5
"15/06/21 5:06:23 PM",28.297,31.37,5.85,1
"15/06/21 5:06:10 PM",0,0,0,5
"15/06/21 5:06:24 PM",37.918,31.86,6.11,1
"15/06/21 6:06:13 PM",0,0,0,5
"15/06/21 6:06:23 PM",30.342,31.58,6.01,1
"15/06/21 6:06:11 PM",0,0,0,5
"15/06/21 6:06:24 PM",41.115,32.31,5.94,1
"15/06/21 7:06:11 PM",0,0,0,5
"15/06/21 7:06:23 PM",28.18,31.68,6.06,1
"15/06/21 7:06:10 PM",0,0,0,5
"15/06/21 7:06:23 PM",26.295,28.64,5.76,1
"15/06/21 8:06:09 PM",0,0,0,5
"15/06/21 8:06:24 PM",30.395,182.3,5.92,1
"15/06/21 8:06:11 PM",0,0,0,5
"15/06/21 8:06:24 PM",45.115,180.8,5.95,1
"15/06/21 9:06:10 PM",0,0,0,5
"15/06/21 9:06:23 PM",33.009,121.15,6.01,1
"15/06/21 9:06:09 PM",0,0,0,5
"15/06/21 9:06:23 PM",38.153,190.45,6.15,1
"15/06/21 10:06:10 PM",0,0,0,5
"15/06/21 10:06:24 PM",30.818,129.64,5.72,1
"15/06/21 10:06:09 PM",0,0,0,5
"15/06/21 10:06:26 PM",39.665,50.28,5.69,1
"15/06/21 11:06:09 PM",0,0,0,5
"15/06/21 11:06:27 PM",46.77,41.28,5.58,1
"15/06/21 11:06:08 PM",0,0,0,5
"15/06/21 11:06:28 PM",40.505,121.67,5.61,1
"16/06/21 12:06:09 AM",0,0,0,5
"16/06/21 12:06:24 AM",42.016,152.48,5.59,1
"16/06/21 12:06:10 AM",0,0,0,5
"16/06/21 12:06:23 AM",44.924,164.54,5.7,1
"16/06/21 1:06:09 AM",0,0,0,5
"16/06/21 1:06:24 AM",47.099,167.54,5.77,1
"16/06/21 1:06:09 AM",0,0,0,5
"16/06/21 1:06:23 AM",38.235,91.76,5.65,1
"16/06/21 2:06:10 AM",0,0,0,5
"16/06/21 2:06:24 AM",44.487,87.37,5.75,1
"16/06/21 2:06:07 AM",0,0,0,5
"16/06/21 2:06:24 AM",38.408,84.86,5.79,1
"16/06/21 3:06:09 AM",0,0,0,5
"16/06/21 3:06:28 AM",41.539,99.84,5.78,1
"16/06/21 3:06:10 AM",0,0,0,5
"16/06/21 3:06:28 AM",42.14,120.43,5.78,1
"16/06/21 4:06:08 AM",0,0,0,5
